  PID TTY           TIME CMD
 1554 ??       411:46.04 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=gpu-process --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --gpu-preferences=WAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAADAAAAAEAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files --metrics-shmem-handle=1752395122,r,1528629906506244658,14490029708135364117,262144 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=20
 1555 ??        53:44.53 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --shared-files --metrics-shmem-handle=1752395122,r,6710066997171411406,5931241194584168889,524288 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=19
 1557 ??         1:29.65 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --shared-files --metrics-shmem-handle=1752395122,r,16524752181266519398,2891685428237113955,524288 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190708990060038890 --seatbelt-client=35
 1596 ??        18:10.39 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --message-loop-type-ui --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --shared-files --metrics-shmem-handle=1752395122,r,6420160666956520525,2054111744322517186,524288 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190709013486085115 --seatbelt-client=275
 1602 ??         0:25.72 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
 1644 ??         0:01.82 /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.plugin/Contents/Resources/VDCAssistant
 1657 ??         0:50.11 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=video_capture.mojom.VideoCaptureService --lang=en-GB --service-sandbox-type=none --message-loop-type-ui --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --shared-files --metrics-shmem-handle=1752395122,r,7461101060038796069,16711723059673832850,524288 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190709025667629152
 2584 ??         5:58.00 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --top-chrome-webui --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=485 --time-ticks-at-unix-epoch=-1787852889129510 --launch-time-ticks=7069784795 --shared-files --metrics-shmem-handle=1752395122,r,9532721427533079272,1446610613553018705,2097152 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190709440777168259 --seatbelt-client=94
 2593 ??         4:02.49 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --extension-process --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=494 --time-ticks-at-unix-epoch=-1787852889129510 --launch-time-ticks=7069861426 --shared-files --metrics-shmem-handle=1752395122,r,587732860148922102,1467536203427216916,2097152 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190709449210544900 --seatbelt-client=133
 2905 ??        45:38.54 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=578 --time-ticks-at-unix-epoch=-1787852889129510 --launch-time-ticks=8021786403 --shared-files --metrics-shmem-handle=1752395122,r,14345734076035260182,11657194232204450161,2097152 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190709527922060216 --seatbelt-client=258
 2942 ??         0:00.35 /System/Library/ExtensionKit/Extensions/AccessibilitySettingsWidgetExtension.appex/Contents/MacOS/AccessibilitySettingsWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuQWNjZXNzaWJpbGl0eVNldHRpbmdzV2lkZ2V0RXh0ZW5zaW9uIn0=
 3178 ??         0:00.06 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
 3723 ??         1:27.39 /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
 4726 ??         0:01.76 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
 5124 ??        13:55.24 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --extension-process --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1155 --time-ticks-at-unix-epoch=-1787852889129510 --launch-time-ticks=16074502005 --shared-files --metrics-shmem-handle=1752395122,r,9431455756966684304,4084178810535501566,2097152 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190710068595207089 --seatbelt-client=157
 5169 ??         1:01.11 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=1186 --time-ticks-at-unix-epoch=-1787852889129510 --launch-time-ticks=16084924548 --shared-files --metrics-shmem-handle=1752395122,r,13597303588980910783,3337279485200269528,2097152 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190710097643504408 --seatbelt-client=298
 5287 ??         0:15.34 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
 5483 ??         0:10.24 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -x
11671 ??         3:15.39 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
11680 ??         0:18.89 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
13219 ??         1:24.70 /System/Library/PrivateFrameworks/HomeKitDaemon.framework/Support/homed
13691 ??         0:14.70 /usr/sbin/distnoted agent
14304 ??        14:43.22 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=3394 --time-ticks-at-unix-epoch=-1787852889129510 --launch-time-ticks=48261527465 --shared-files --metrics-shmem-handle=1752395122,r,5867712990885803254,7658451213683898362,2097152 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190712166631907000 --seatbelt-client=49
17689 ??         0:08.37 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
17797 ??         0:00.65 /System/Applications/Mail.app/Contents/PlugIns/com.apple.mail.SpotlightIndexExtension.appex/Contents/MacOS/com.apple.mail.SpotlightIndexExtension -AppleLanguages ("en-IN")
21111 ??         0:38.21 /usr/libexec/aned
23498 ??         0:00.28 /System/Library/ExtensionKit/Extensions/TGOnDeviceInferenceProviderService.appex/Contents/MacOS/TGOnDeviceInferenceProviderService -LaunchArguments eyJ0eXBlIjo4LCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS50Z29uZGV2aWNlaW5mZXJlbmNlcHJvdmlkZXJzZXJ2aWNlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
24690 ??         5:10.62 /Users/tanushshoor/Library/Application Support/Figma/FigmaAgent.app/Contents/MacOS/figma_agent
28738 ??        15:49.42 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=7021 --time-ticks-at-unix-epoch=-1787852889129510 --launch-time-ticks=102981731546 --shared-files --metrics-shmem-handle=1752395122,r,12655774734554341606,5178632650091030025,2097152 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190715565282693323 --seatbelt-client=297
29407 ??         0:11.78 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
42426 ??        47:12.59 /Applications/WhatsApp.app/Contents/MacOS/WhatsApp
42818 ??         0:05.34 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
44871 ??         4:27.78 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
45723 ??         5:21.54 /Applications/Visual Studio Code.app/Contents/MacOS/Code
45731 ??         0:00.72 /Applications/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=/Users/tanushshoor/Library/Application Support/Code/Crashpad --url=appcenter://code?aid=de75e3cc-e22f-4f42-a03f-1409c21d8af8&uid=78162ac4-bb58-4b6e-af8b-09ab434e5fe7&iid=78162ac4-bb58-4b6e-af8b-09ab434e5fe7&sid=78162ac4-bb58-4b6e-af8b-09ab434e5fe7 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.127.0 --annotation=plat=OS X --annotation=prod=Electron --annotation=ver=42.2.0 --handshake-fd=21
45734 ??         1:26.52 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=gpu-process --user-data-dir=/Users/tanushshoor/Library/Application Support/Code --gpu-preferences=SAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAAwAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=1718379636,r,11042156205607377790,16088688401927467758,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12551144985719351621,17663273194722599872,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=33
45735 ??         1:06.83 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --user-data-dir=/Users/tanushshoor/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,11042156205607377790,16088688401927467758,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12551144985719351621,17663273194722599872,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=33
45805 ??        15:34.89 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/tanushshoor/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,11042156205607377790,16088688401927467758,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12551144985719351621,17663273194722599872,4 --trace-process-track-uuid=3190708990997080739
46062 ??         0:57.70 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/tanushshoor/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,11042156205607377790,16088688401927467758,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,12551144985719351621,17663273194722599872,4 --trace-process-track-uuid=3190708993808206286
46231 ??         0:00.37 /System/Applications/Notes.app/Contents/PlugIns/com.apple.Notes.SpotlightIndexExtension.appex/Contents/MacOS/com.apple.Notes.SpotlightIndexExtension -AppleLanguages ("en-IN")
48228 ??         1:13.34 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
50107 ??         3:46.22 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
53135 ??         0:23.91 /System/Library/CoreServices/talagentd
53809 ??         0:00.30 /System/Library/CoreServices/Setup Assistant.app/Contents/Resources/mbuseragent
56118 ??         0:07.53 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
56143 ??         0:00.15 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Resources/bin/simdiskimaged
56147 ??         0:00.10 /usr/libexec/diskimagesiod
56159 ??         0:00.19 /usr/libexec/diskimagesiod
56168 ??         0:00.06 /Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimLaunchHost.arm64.xpc/Contents/MacOS/SimLaunchHost.arm64
57754 ??         3:50.62 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=14241 --time-ticks-at-unix-epoch=-1787852889129510 --launch-time-ticks=197901188257 --shared-files --metrics-shmem-handle=1752395122,r,13875113864187480654,17591049495031244802,2097152 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190722330724843103 --seatbelt-client=205
61987 ??         0:00.03 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
62449 ??         0:08.58 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
63231 ??         0:12.42 /System/Library/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
63254 ??         0:10.41 /System/Library/PrivateFrameworks/ShareKit.framework/Versions/A/PlugIns/ShareSheetUI.appex/Contents/MacOS/ShareSheetUI -AppleLanguages ("en-IN")
63260 ??         0:12.95 /System/Library/PrivateFrameworks/FinderKit.framework/Versions/A/PlugIns/AirDrop.appex/Contents/MacOS/AirDrop -AppleLanguages ("en-IN")
65938 ??         0:57.53 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
66736 ??        14:10.82 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=16080 --time-ticks-at-unix-epoch=-1787852889129510 --launch-time-ticks=223741440590 --shared-files --metrics-shmem-handle=1752395122,r,17750637855592243068,388986122841974817,2097152 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190724053944803414 --seatbelt-client=258
66741 ??         2:06.48 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=16085 --time-ticks-at-unix-epoch=-1787852889129510 --launch-time-ticks=223741488355 --shared-files --metrics-shmem-handle=1752395122,r,9456761130811096785,16734365976229896351,2097152 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190724058630012659 --seatbelt-client=258
68992 ??         0:01.95 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeuid.app/Contents/MacOS/storeuid
69362 ??         3:36.90 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=16491 --time-ticks-at-unix-epoch=-1787852889129510 --launch-time-ticks=232919760081 --shared-files --metrics-shmem-handle=1752395122,r,2026275855266144148,14556564859980873064,2097152 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190724439069003353 --seatbelt-client=191
69611 ??         0:22.35 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/151.0.7922.174/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=c17491f4-096e-42f3-add9-1d6de9ff6cec --user-data-dir=/Users/tanushshoor/Library/Application Support/Google/Chrome --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=16616 --time-ticks-at-unix-epoch=-1787852889129510 --launch-time-ticks=233897966850 --shared-files --metrics-shmem-handle=1752395122,r,13050944096279173802,1209341828336623615,2097152 --field-trial-handle=1718379636,r,14887885371733884642,9547546450534094893,262144 --variations-seed-version=20260827-010038.268000-production --pseudonymization-salt-handle=1935764596,r,6239752679739816779,5150570311576649987,4 --trace-process-track-uuid=3190724556199234478 --seatbelt-client=170
