  PID TTY           TIME CMD
  563 ??         1:38.04 /Library/Application Support/Malwarebytes/MBAM/Engine.bundle/Contents/PlugIns/SettingsDaemon.app/Contents/MacOS/SettingsDaemon
  564 ??         8:51.28 /usr/libexec/searchpartyd
  569 ??         0:15.68 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  570 ??         2:07.04 /usr/sbin/distnoted agent
  571 ??         6:12.28 /usr/sbin/cfprefsd agent
  576 ??         0:18.14 /usr/sbin/distnoted agent
  577 ??         0:17.44 /usr/sbin/distnoted agent
  584 ??         1:42.75 /usr/libexec/UserEventAgent (Aqua)
  590 ??         0:40.22 /usr/sbin/universalaccessd launchd -s
  592 ??         0:08.55 /usr/libexec/pboard
  594 ??         4:50.61 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  596 ??         1:34.24 /usr/libexec/lsd
  597 ??        32:39.18 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/AXVisualSupportAgent.app/Contents/MacOS/AXVisualSupportAgent launchd -s
  600 ??         6:56.45 /usr/libexec/rapportd
  602 ??         3:13.75 /usr/libexec/secd
  603 ??         2:59.08 /usr/libexec/nsurlsessiond
  604 ??         7:40.19 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  607 ??         0:04.96 /System/Library/CoreServices/sharedfilelistd
  608 ??        10:18.23 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  609 ??         6:04.43 /usr/libexec/trustd --agent
  610 ??         8:53.13 /usr/libexec/sharingd
  612 ??         0:17.68 /usr/sbin/distnoted agent
  614 ??         1:25.62 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
  616 ??         6:27.39 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  618 ??         2:11.14 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  619 ??        29:50.16 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  620 ??         0:00.62 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  621 ??         4:57.18 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  622 ??         0:20.36 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  623 ??        16:53.39 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  629 ??         0:10.13 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  630 ??         0:28.97 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  635 ??         0:24.07 /usr/sbin/filecoordinationd
  639 ??         3:40.41 /usr/libexec/ContinuityCaptureAgent server
  640 ??         0:01.73 automountd
  653 ??         0:49.17 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  654 ??         0:01.07 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -st
  655 ??        24:17.51 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  657 ??         0:01.45 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent --launchd
  658 ??         1:15.57 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  659 ??         0:35.58 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  660 ??        10:14.23 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
